# Memory Initialization File (200 samples)
# Format: ADDR: DATA (Hex)
000: 0000000000000000
001: 0000000100000000
002: 0000000200000000
003: 0000000300000000
004: 0000000400000000
005: 0000000500000000
006: 0000000600000000
007: 0000000700000000
008: 0000000800000000
009: 0000000900000000
00A: 0000000A00000000
00B: 0000000B00000000
00C: 0000000C00000000
00D: 0000000D00000000
00E: 0000000E00000000
00F: 0000000F00000000
010: 0000001000000000
011: 0000001100000000
012: 0000001200000000
013: 0000001300000000
014: 0000001400000000
015: 0000001500000000
016: 0000001600000000
017: 0000001700000000
018: 0000001800000000
019: 0000001900000000
01A: 0000001A00000000
01B: 0000001B00000000
01C: 0000001C00000000
01D: 0000001D00000000
01E: 0000001E00000000
01F: 0000001F00000000
020: 0000002000000000
021: 0000002100000000
022: 0000002200000000
023: 0000002300000000
024: 0000002400000000
025: 0000002500000000
026: 0000002600000000
027: 0000002700000000
028: 0000002800000000
029: 0000002900000000
02A: 0000002A00000000
02B: 0000002B00000000
02C: 0000002C00000000
02D: 0000002D00000000
02E: 0000002E00000000
02F: 0000002F00000000
030: 0000003000000000
031: 0000003100000000
032: 0000003200000000
033: 0000003300000000
034: 0000003400000000
035: 0000003500000000
036: 0000003600000000
037: 0000003700000000
038: 0000003800000000
039: 0000003900000000
03A: 0000003A00000000
03B: 0000003B00000000
03C: 0000003C00000000
03D: 0000003D00000000
03E: 0000003E00000000
03F: 0000003F00000000
040: 0000004000000000
041: 0000004100000000
042: 0000004200000000
043: 0000004300000000
044: 0000004400000000
045: 0000004500000000
046: 0000004600000000
047: 0000004700000000
048: 0000004800000000
049: 0000004900000000
04A: 0000004A00000000
04B: 0000004B00000000
04C: 0000004C00000000
04D: 0000004D00000000
04E: 0000004E00000000
04F: 0000004F00000000
050: 0000005000000000
051: 0000005100000000
052: 0000005200000000
053: 0000005300000000
054: 0000005400000000
055: 0000005500000000
056: 0000005600000000
057: 0000005700000000
058: 0000005800000000
059: 0000005900000000
05A: 0000005A00000000
05B: 0000005B00000000
05C: 0000005C00000000
05D: 0000005D00000000
05E: 0000005E00000000
05F: 0000005F00000000
060: 0000006000000000
061: 0000006100000000
062: 0000006200000000
063: 0000006300000000
064: 0000006400000000
065: 0000006500000000
066: 0000006600000000
067: 0000006700000000
068: 0000006800000000
069: 0000006900000000
06A: 0000006A00000000
06B: 0000006B00000000
06C: 0000006C00000000
06D: 0000006D00000000
06E: 0000006E00000000
06F: 0000006F00000000
070: 0000007000000000
071: 0000007100000000
072: 0000007200000000
073: 0000007300000000
074: 0000007400000000
075: 0000007500000000
076: 0000007600000000
077: 0000007700000000
078: 0000007800000000
079: 0000007900000000
07A: 0000007A00000000
07B: 0000007B00000000
07C: 0000007C00000000
07D: 0000007D00000000
07E: 0000007E00000000
07F: 0000007F00000000
080: 0000008000000000
081: 0000008100000000
082: 0000008200000000
083: 0000008300000000
084: 0000008400000000
085: 0000008500000000
086: 0000008600000000
087: 0000008700000000
088: 0000008800000000
089: 0000008900000000
08A: 0000008A00000000
08B: 0000008B00000000
08C: 0000008C00000000
08D: 0000008D00000000
08E: 0000008E00000000
08F: 0000008F00000000
090: 0000009000000000
091: 0000009100000000
092: 0000009200000000
093: 0000009300000000
094: 0000009400000000
095: 0000009500000000
096: 0000009600000000
097: 0000009700000000
098: 0000009800000000
099: 0000009900000000
09A: 0000009A00000000
09B: 0000009B00000000
09C: 0000009C00000000
09D: 0000009D00000000
09E: 0000009E00000000
09F: 0000009F00000000
0A0: 000000A000000000
0A1: 000000A100000000
0A2: 000000A200000000
0A3: 000000A300000000
0A4: 000000A400000000
0A5: 000000A500000000
0A6: 000000A600000000
0A7: 000000A700000000
0A8: 000000A800000000
0A9: 000000A900000000
0AA: 000000AA00000000
0AB: 000000AB00000000
0AC: 000000AC00000000
0AD: 000000AD00000000
0AE: 000000AE00000000
0AF: 000000AF00000000
0B0: 000000B000000000
0B1: 000000B100000000
0B2: 000000B200000000
0B3: 000000B300000000
0B4: 000000B400000000
0B5: 000000B500000000
0B6: 000000B600000000
0B7: 000000B700000000
0B8: 000000B800000000
0B9: 000000B900000000
0BA: 000000BA00000000
0BB: 000000BB00000000
0BC: 000000BC00000000
0BD: 000000BD00000000
0BE: 000000BE00000000
0BF: 000000BF00000000
0C0: 000000C000000000
0C1: 000000C100000000
0C2: 000000C200000000
0C3: 000000C300000000
0C4: 000000C400000000
0C5: 000000C500000000
0C6: 000000C600000000
0C7: 000000C700000000
